GKZ;Gebietsname;Wahlberechtigte;abgegebene;ungueltige;gueltige;OEVP;SPOE;FPOE;GRUENE;NEOS;DNA;KPOE
G30399;Wahlkarten - Waidhofen an der Ybbs Stadt;0;170;1;169;26;52;25;30;26;3;7
G30400;Wiener Neustadt Stadt;32018;16299;273;16026;3172;4109;4755;1457;1664;378;491
G30401;Wiener Neustadt;32018;15924;270;15654;3095;4025;4678;1403;1607;366;480
G30499;Wahlkarten - Wiener Neustadt Stadt;0;375;3;372;77;84;77;54;57;12;11
G30500;Amstetten;90901;60669;1518;59151;18131;12291;16400;4656;4402;2044;1227
G30501;Allhartsberg;1792;1220;28;1192;447;192;319;87;71;51;25
G30502;Amstetten;16894;9539;199;9340;2102;2385;2800;746;817;259;231
G30503;Ardagger;2862;2063;81;1982;750;293;566;150;127;56;40
G30504;Aschbach-Markt;2921;1828;36;1792;644;256;485;150;160;64;33
G30506;Behamberg;2706;1928;39;1889;533;367;601;143;123;85;37
G30507;Biberbach;1872;1321;23;1298;504;184;348;102;81;52;27
G30508;Ennsdorf;2393;1399;42;1357;197;509;398;104;84;30;35
G30509;Ernsthofen;1884;1203;27;1176;311;343;296;71;88;43;24
G30510;Ertl;1035;701;28;673;284;54;231;21;29;44;10
G30511;Euratsfeld;2189;1700;59;1641;703;175;437;150;109;40;27
G30512;Ferschnitz;1486;1064;36;1028;409;112;330;64;69;29;15
G30514;Haag;4558;2861;67;2794;889;566;668;263;225;122;61
G30515;Haidershofen;2973;2080;52;2028;516;476;617;156;145;89;29
G30516;Hollenstein an der Ybbs;1325;869;24;845;323;243;166;38;37;27;11
G30517;Kematen an der Ybbs;1978;1136;30;1106;242;340;325;48;65;59;27
G30520;Neuhofen an der Ybbs;2394;1541;50;1491;531;184;457;104;131;67;17
G30521;Neustadtl an der Donau;1747;1298;33;1265;523;168;398;36;71;55;14
G30522;Oed-Oehling;1597;999;35;964;314;158;267;89;79;35;22
G30524;Opponitz;678;475;21;454;177;91;108;27;19;22;10
G30526;St. Georgen am Reith;434;281;4;277;106;61;65;19;14;4;8
G30527;St. Georgen am Ybbsfelde;2221;1493;26;1467;559;222;414;116;101;25;30
G30529;St. Pantaleon-Erla;2125;1353;30;1323;321;371;357;114;88;41;31
G30530;St. Peter in der Au;4066;2811;80;2731;922;412;774;250;189;133;51
G30531;St. Valentin;7406;4691;113;4578;857;1566;1177;405;392;91;90
G30532;Seitenstetten;2629;1857;36;1821;637;251;517;174;104;84;54
G30533;Sonntagberg;2893;1839;47;1792;459;558;418;139;127;54;37
G30534;Strengberg;1726;1164;44;1120;411;210;277;85;93;30;14
G30536;Viehdorf;1095;772;17;755;331;80;241;29;43;21;10
G30538;Wallsee-Sindelburg;1712;1044;25;1019;341;220;262;94;66;15;21
G30539;Weistrach;1975;1383;33;1350;507;173;423;83;87;47;30
G30541;Winklarn;1446;983;18;965;290;179;269;78;90;34;25
G30542;Wolfsbach;1652;1117;32;1085;484;117;270;55;80;55;24
G30543;Ybbsitz;2717;1950;47;1903;730;258;510;164;133;81;27
G30544;Zeillern;1520;1052;25;1027;394;139;303;73;58;36;24
G30599;Wahlkarten - Amstetten;0;1654;31;1623;383;378;306;229;207;64;56
G30600;Baden;108207;64641;1190;63451;13259;16954;17263;5866;7112;1626;1371
G30601;Alland;2042;1131;27;1104;273;189;345;115;132;26;24
G30602;Altenmarkt an der Triesting;1551;1018;17;1001;339;169;295;77;64;30;27
G30603;Bad Vöslau;8907;5372;86;5286;1061;1481;1235;597;661;157;94
G30604;Baden;18550;11521;163;11358;2693;2426;2190;1588;1869;331;261
G30605;Berndorf;6227;3138;75;3063;540;919;960;238;266;70;70
G30607;Ebreichsdorf;8552;4472;86;4386;805;1162;1440;324;461;100;94
G30608;Enzesfeld-Lindabrunn;3342;1976;30;1946;356;576;621;147;156;47;43
G30609;Furth an der Triesting;676;458;12;446;200;59;104;21;29;22;11
G30612;Günselsdorf;1263;637;12;625;109;189;228;33;36;19;11
G30613;Heiligenkreuz;1125;751;16;735;231;135;179;84;78;18;10
G30614;Hernstein;1270;979;21;958;356;194;232;44;95;17;20
G30615;Hirtenberg;1584;750;15;735;98;224;292;42;43;15;21
G30616;Klausen-Leopoldsdorf;1330;742;10;732;189;139;258;49;70;17;10
G30618;Kottingbrunn;5623;3195;54;3141;613;863;893;281;333;79;79
G30620;Leobersdorf;3818;2024;33;1991;376;515;652;153;194;53;48
G30621;Mitterndorf an der Fischa;2167;1102;23;1079;107;332;439;49;88;36;28
G30623;Oberwaltersdorf;3780;2094;55;2039;463;485;547;170;294;50;30
G30625;Pfaffstätten;2628;1796;33;1763;459;389;296;273;260;44;42
G30626;Pottendorf;5484;2890;50;2840;577;739;955;184;252;66;67
G30627;Pottenstein;2151;1229;19;1210;272;385;327;105;77;18;26
G30629;Reisenberg;1311;803;23;780;174;218;272;31;53;20;12
G30631;Schönau an der Triesting;1619;939;28;911;199;263;248;70;84;27;20
G30633;Seibersdorf;1271;837;8;829;266;166;265;48;61;12;11
G30635;Sooß;778;512;10;502;150;82;120;52;80;10;8
G30636;Tattendorf;1107;655;14;641;191;120;181;57;72;13;7
G30637;Teesdorf;1430;899;16;883;193;286;236;58;78;15;17
G30639;Traiskirchen;13304;7774;162;7612;1104;2908;2101;512;673;177;137
G30641;Trumau;2606;1594;35;1559;239;526;467;95;150;33;49
G30645;Weissenbach an der Triesting;1265;773;14;759;200;177;242;57;46;22;15
G30646;Blumau-Neurißhof;1446;767;10;757;106;173;334;34;68;29;13
G30699;Wahlkarten - Baden;0;1813;33;1780;320;465;309;278;289;53;66
G30700;Bruck an der Leitha;74888;43028;901;42127;9818;11641;12140;3085;3589;797;1057
G30701;Au am Leithaberge;736;429;10;419;150;61;160;16;24;3;5
G30702;Bad Deutsch-Altenburg;1279;703;14;689;178;167;225;37;45;14;23
G30703;Berg;489;332;8;324;112;108;62;11;23;3;5
G30704;Bruck an der Leitha;5933;3366;75;3291;670;983;925;288;271;53;101
G30706;Enzersdorf an der Fischa;2624;1464;35;1429;347;350;479;84;107;31;31
G30708;Göttlesbrunn-Arbesthal;1143;718;19;699;286;89;194;54;58;13;5
G30709;Götzendorf an der Leitha;1614;979;26;953;260;281;237;68;84;14;9
G30710;Hainburg a.d. Donau;3514;1838;30;1808;570;414;514;118;123;34;35
G30711;Haslau-Maria Ellend;1535;960;19;941;204;264;275;76;79;31;12
G30712;Höflein;986;684;30;654;256;113;181;37;45;14;8
G30713;Hof am Leithaberge;1253;802;12;790;217;196;261;38;56;11;11
G30715;Hundsheim;500;350;7;343;76;117;113;19;8;5;5
G30716;Mannersdorf am Leithagebirge;2910;1683;35;1648;281;614;447;115;112;35;44
G30718;Petronell-Carnuntum;946;564;20;544;157;161;129;37;43;6;11
G30719;Prellenkirchen;1206;829;21;808;323;177;219;34;34;8;13
G30721;Rohrau;1215;792;17;775;283;158;211;39;56;16;12
G30722;Scharndorf;969;704;16;688;296;125;134;63;50;6;14
G30724;Sommerein;1713;1028;17;1011;235;327;314;53;45;17;20
G30726;Trautmannsdorf an der Leitha;2292;1445;42;1403;465;312;356;86;119;29;36
G30728;Wolfsthal;591;336;7;329;144;49;83;12;28;7;6
G30729;Ebergassing;2895;1492;26;1466;301;452;431;93;129;30;30
G30730;Fischamend;4041;2083;32;2051;329;568;674;131;193;39;117
G30731;Gramatneusiedl;2392;1311;26;1285;280;410;324;106;108;24;33
G30732;Himberg;5916;3290;60;3230;695;972;900;242;315;48;58
G30733;Klein-Neusiedl;630;356;6;350;42;144;125;4;16;6;13
G30734;Lanzendorf;1417;701;10;691;108;230;195;51;70;21;16
G30735;Leopoldsdorf;4072;2336;34;2302;495;547;622;248;312;28;50
G30736;Maria-Lanzendorf;1680;889;17;872;157;225;270;86;90;16;28
G30737;Moosbrunn;1363;857;28;829;212;215;239;43;75;33;12
G30738;Rauchenwarth;596;423;8;415;154;89;92;33;31;4;12
G30739;Schwadorf;1567;828;31;797;163;274;237;42;56;11;14
G30740;Schwechat;13629;6569;124;6445;976;1955;2051;532;577;140;214
G30741;Zwölfaxing;1242;720;18;702;161;165;237;50;55;17;17
G30799;Wahlkarten - Bruck an der Leitha;0;1167;21;1146;235;329;224;139;152;30;37
G30800;Gänserndorf;79517;46844;1003;45841;12311;11488;13705;2912;3557;894;974
G30801;Aderklaa;157;120;5;115;67;5;26;9;3;1;4
G30802;Andlersdorf;124;88;2;86;33;13;12;8;16;0;4
G30803;Angern an der March;2599;1616;30;1586;332;576;451;90;82;24;31
G30804;Auersthal;1479;950;25;925;323;239;186;67;62;35;13
G30805;Bad Pirawarth;1354;831;13;818;302;168;203;60;67;8;10
G30808;Deutsch-Wagram;6649;3670;53;3617;753;834;1115;315;409;86;105
G30810;Drösing;894;537;13;524;194;131;148;22;17;7;5
G30811;Dürnkrut;1776;1014;19;995;258;285;323;43;58;12;16
G30812;Ebenthal;685;428;14;414;141;104;102;29;23;4;11
G30813;Eckartsau;970;608;9;599;239;110;195;17;27;4;7
G30814;Engelhartstetten;1588;947;28;919;263;180;337;39;63;24;13
G30817;Gänserndorf;8405;4230;80;4150;882;1105;1248;332;397;92;94
G30819;Glinzendorf;246;136;1;135;71;13;33;7;8;2;1
G30821;Groß-Enzersdorf;8749;5024;88;4936;1050;1322;1421;420;534;89;100
G30822;Großhofen;65;46;3;43;28;0;4;1;6;3;1
G30824;Groß-Schweinbarth;993;617;13;604;210;130;144;45;47;15;13
G30825;Haringsee;914;609;11;598;209;150;144;24;44;10;17
G30826;Hauskirchen;1018;616;14;602;233;114;199;19;21;11;5
G30827;Hohenau an der March;2058;1169;27;1142;207;480;335;32;40;15;33
G30828;Hohenruppersdorf;761;477;17;460;183;85;115;27;26;17;7
G30829;Jedenspeigen;925;593;11;582;218;159;130;24;32;11;8
G30830;Lassee;2197;1263;29;1234;305;270;484;72;67;15;21
G30831;Leopoldsdorf im Marchfeld;2181;1266;17;1249;262;373;412;69;90;17;26
G30834;Mannsdorf an der Donau;255;166;3;163;62;23;39;11;25;2;1
G30835;Marchegg;2094;1118;23;1095;240;302;367;72;73;18;23
G30836;Markgrafneusiedl;707;458;15;443;112;127;147;18;25;9;5
G30838;Matzen-Raggendorf;2197;1269;37;1232;385;289;352;67;93;19;27
G30841;Neusiedl an der Zaya;977;575;12;563;226;81;186;18;33;8;11
G30842;Obersiebenbrunn;1358;679;8;671;148;197;233;35;32;12;14
G30844;Orth an der Donau;1639;874;17;857;237;172;280;62;64;21;21
G30845;Palterndorf-Dobermannsdorf;990;607;11;596;232;105;183;19;38;7;12
G30846;Parbasdorf;135;110;3;107;65;10;22;6;4;0;0
G30848;Prottes;1095;634;14;620;202;145;172;29;56;11;5
G30849;Raasdorf;432;273;2;271;115;53;58;17;20;5;3
G30850;Ringelsdorf-Niederabsdorf;1026;646;19;627;165;228;177;16;21;13;7
G30852;Schönkirchen-Reyersdorf;1501;954;31;923;258;231;266;53;79;14;22
G30854;Spannberg;777;515;19;496;187;87;150;25;32;9;6
G30856;Strasshof an der Nordbahn;7981;3978;71;3907;586;1192;1364;217;354;84;110
G30857;Sulz im Weinviertel;993;655;23;632;280;103;162;31;36;11;9
G30858;Untersiebenbrunn;1321;708;14;694;125;185;269;35;36;24;20
G30859;Velm-Götzendorf;620;409;15;394;142;70;122;24;19;8;9
G30860;Weikendorf;1540;972;24;948;256;223;283;89;59;19;19
G30863;Zistersdorf;4328;2605;88;2517;992;440;682;125;176;53;49
G30865;Weiden an der March;764;542;12;530;245;74;138;24;21;15;13
G30899;Wahlkarten - Gänserndorf;0;1242;20;1222;288;305;286;148;122;30;43
G30900;Gmünd;29336;19153;588;18565;5996;4522;5188;1072;992;471;324
G30902;Amaliendorf-Aalfang;921;553;15;538;91;176;205;27;20;11;8
G30903;Brand-Nagelberg;1223;797;22;775;125;349;222;24;28;6;21
G30904;Eggern;575;360;7;353;124;67;121;30;7;3;1
G30906;Eisgarn;564;345;18;327;129;64;102;11;13;4;4
G30908;Gmünd;3904;2406;76;2330;609;704;632;148;155;51;31
G30909;Großdietmanns;1816;1192;38;1154;388;233;365;71;53;34;10
G30910;Bad Großpertholz;1064;635;15;620;208;126;177;39;32;20;18
G30912;Großschönau;983;716;27;689;285;87;198;57;26;22;14
G30913;Moorbad Harbach;572;398;6;392;123;83;120;26;20;12;8
G30915;Haugschlag;398;253;13;240;72;40;87;16;15;9;1
G30916;Heidenreichstein;3147;1923;51;1872;585;536;481;110;82;46;32
G30917;Hirschbach;494;352;2;350;117;87;91;19;23;7;6
G30920;Hoheneich;1170;762;24;738;216;194;202;43;50;22;11
G30921;Kirchberg am Walde;1055;697;20;677;274;89;213;34;30;22;15
G30925;Litschau;1808;1055;30;1025;410;204;273;48;52;20;18
G30929;Reingers;517;337;10;327;129;58;98;13;18;7;4
G30932;St. Martin;886;534;30;504;183;86;166;29;22;13;5
G30935;Schrems;4280;2626;79;2547;631;873;670;126;129;64;54
G30939;Unserfrau-Altweitra;813;568;20;548;258;65;149;23;26;18;9
G30940;Waldenstein;973;708;29;679;335;70;180;39;27;18;10
G30942;Weitra;2173;1346;42;1304;540;212;301;79;108;38;26
G30999;Wahlkarten - Gmünd;0;590;14;576;164;119;135;60;56;24;18
G31000;Hollabrunn;41602;27468;788;26680;10107;4818;6760;1984;2009;529;473
G31001;Alberndorf im Pulkautal;590;366;9;357;107;81;115;9;33;9;3
G31008;Göllersdorf;2412;1606;53;1553;545;307;399;106;118;44;34
G31009;Grabern;1321;882;26;856;362;100;243;43;61;25;22
G31014;Guntersdorf;954;667;19;648;278;104;195;22;29;11;9
G31015;Hadres;1419;910;26;884;379;147;246;45;45;14;8
G31016;Hardegg;1067;789;44;745;357;111;174;35;40;11;17
G31018;Haugsdorf;1287;794;28;766;249;172;245;27;54;6;13
G31019;Heldenberg;1157;745;18;727;298;112;190;46;61;11;9
G31021;Hohenwarth-Mühlbach a.M.;1115;722;18;704;314;128;161;34;50;10;7
G31022;Hollabrunn;9366;5663;117;5546;1804;917;1442;599;538;118;128
G31025;Mailberg;461;295;13;282;114;63;73;13;10;7;2
G31026;Maissau;1598;1072;22;1050;469;188;236;58;68;17;14
G31028;Nappersdorf-Kammersdorf;995;624;26;598;254;83;164;36;38;6;17
G31033;Pernersdorf;854;537;7;530;185;130;149;28;26;8;4
G31035;Pulkau;1236;865;28;837;355;163;163;57;68;15;16
G31036;Ravelsbach;1373;873;33;840;299;154;240;50;66;22;9
G31037;Retz;3484;2116;62;2054;787;366;465;200;175;30;31
G31038;Retzbach;799;574;18;556;217;82;128;55;45;14;15
G31041;Schrattenthal;744;545;15;530;245;118;80;39;32;6;10
G31042;Seefeld-Kadolz;801;491;12;479;143;153;136;14;21;8;4
G31043;Sitzendorf an der Schmida;1813;1191;35;1156;520;169;285;72;58;38;14
G31051;Wullersdorf;1978;1286;43;1243;437;214;382;75;81;32;22
G31052;Zellerndorf;2008;1333;41;1292;515;305;274;83;75;20;20
G31053;Ziersdorf;2770;1783;62;1721;681;312;427;110;140;27;24
G31099;Wahlkarten - Hollabrunn;0;739;13;726;193;139;148;128;77;20;21
G31100;Horn;25302;17548;530;17018;7177;2612;4241;1167;1176;387;258
G31101;Altenburg;681;443;12;431;172;60;125;25;30;11;8
G31102;Brunn an der Wild;682;489;11;478;264;48;116;16;20;9;5
G31103;Burgschleinitz-Kühnring;1120;780;23;757;340;105;200;35;46;21;10
G31104;Drosendorf-Zissersdorf;959;636;23;613;257;73;189;32;44;12;6
G31105;Eggenburg;2837;1758;51;1707;565;374;366;163;157;50;32
G31106;Gars am Kamp;2882;1835;61;1774;609;323;459;146;153;43;41
G31107;Geras;1052;738;12;726;360;73;182;38;50;16;7
G31109;Horn;5141;3196;84;3112;1107;495;860;268;257;84;41
G31110;Irnfritz-Messern;1181;831;32;799;399;100;220;33;26;11;10
G31111;Japons;579;441;8;433;255;41;89;17;19;6;6
G31113;Langau;572;378;10;368;206;37;75;17;24;4;5
G31114;Meiseldorf;724;505;16;489;210;95;128;22;16;8;10
G31117;Pernegg;564;435;26;409;188;65;105;18;19;8;6
G31119;Röhrenbach;421;342;9;333;210;19;51;24;18;11;0
G31120;Röschitz;923;637;13;624;308;101;134;31;41;5;4
G31121;Rosenburg-Mold;657;455;22;433;189;49;135;19;23;10;8
G31123;St. Bernhard-Frauenhofen;1071;797;27;770;364;69;208;41;50;25;13
G31124;Sigmundsherberg;1393;945;37;908;305;233;234;63;36;21;16
G31129;Weitersfeld;1281;937;24;913;551;87;157;43;59;8;8
G31130;Straning-Grafenberg;582;383;13;370;142;74;96;28;19;6;5
G31199;Wahlkarten - Horn;0;587;16;571;176;91;112;88;69;18;17
G31200;Korneuburg;70552;45522;867;44655;12597;9617;10559;4484;5329;1017;1052
G31201;Bisamberg;3695;2457;31;2426;739;477;389;284;444;51;42
G31202;Enzersfeld im Weinviertel;1452;963;22;941;310;231;206;60;104;17;13
G31203;Ernstbrunn;2589;1579;37;1542;635;238;399;113;80;36;41
G31204;Großmugl;1333;941;29;912;377;121;219;61;90;32;12
G31205;Großrußbach;1806;1194;37;1157;479;169;256;105;102;26;20
G31206;Hagenbrunn;1756;1204;22;1182;379;245;275;85;150;27;21
G31207;Harmannsdorf;3286;2232;53;2179;719;415;546;185;242;37;35
G31208;Hausleiten;3033;1992;51;1941;650;362;536;133;164;44;52
G31213;Korneuburg;9792;5798;89;5709;1342;1372;1237;706;779;113;160
G31214;Langenzersdorf;6329;4178;55;4123;995;875;763;591;681;113;105
G31215;Leitzersdorf;952;686;18;668;228;93;198;42;68;28;11
G31216;Leobendorf;4076;2746;52;2694;732;601;566;278;391;67;59
G31224;Rußbach;1132;733;15;718;283;132;187;43;42;23;8
G31226;Sierndorf;3102;2048;47;2001;683;352;521;156;198;45;46
G31227;Spillern;1987;1169;35;1134;189;361;323;110;100;27;24
G31228;Stetteldorf am Wagram;846;584;16;568;246;79;139;33;46;17;8
G31229;Stetten;1077;671;11;660;150;178;176;47;83;18;8
G31230;Stockerau;12285;7067;126;6941;1645;1716;1751;741;749;158;181
G31234;Niederhollabrunn;1239;827;19;808;292;126;217;73;65;17;18
G31235;Gerasdorf bei Wien;8785;5075;81;4994;1229;1185;1450;399;516;85;130
G31299;Wahlkarten - Korneuburg;0;1378;21;1357;295;289;205;239;235;36;58
G31300;Krems Land;45610;31647;788;30859;10881;5460;7886;2403;2720;940;569
G31301;Aggsbach;528;376;6;370;132;109;80;17;21;4;7
G31302;Albrechtsberg an der Großen Krems;841;603;16;587;224;94;169;28;31;31;10
G31303;Bergern im Dunkelsteinerwald;1074;712;16;696;254;112;183;49;51;37;10
G31304;Dürnstein;669;500;9;491;221;79;82;41;48;15;5
G31308;Grafenegg;2575;1697;36;1661;587;293;394;140;164;51;32
G31309;Furth bei Göttweig;2358;1581;41;1540;459;361;315;163;149;54;39
G31310;Gedersdorf;1715;1186;36;1150;373;222;348;73;85;26;23
G31311;Gföhl;3133;2080;61;2019;724;343;626;98;128;70;30
G31315;Hadersdorf-Kammern;1608;1031;28;1003;282;240;258;92;86;30;15
G31319;Jaidhof;989;710;21;689;257;80;227;39;30;36;20
G31321;Krumau am Kamp;612;423;20;403;161;59;126;20;21;5;11
G31322;Langenlois;5969;3944;88;3856;1288;613;984;400;405;102;64
G31323;Lengenfeld;1124;742;19;723;236;125;218;57;56;16;15
G31324;Lichtenau im Waldviertel;1714;1157;42;1115;457;125;384;39;56;31;23
G31326;Maria Laach am Jauerling;747;504;10;494;248;63;98;31;33;12;9
G31327;Mautern an der Donau;2777;1792;40;1752;576;350;384;163;203;36;40
G31330;Mühldorf;1043;707;18;689;268;143;179;28;38;19;14
G31333;Paudorf;2118;1415;36;1379;404;386;351;84;96;32;26
G31336;Rastenfeld;1282;914;25;889;316;109;318;46;63;32;5
G31337;Rohrendorf bei Krems;1606;1084;28;1056;323;200;247;105;140;25;16
G31338;Rossatz-Arnsdorf;845;607;19;588;255;122;87;48;57;10;9
G31340;St. Leonhard am Hornerwald;934;669;13;656;272;62;228;13;42;24;15
G31343;Senftenberg;1507;966;25;941;297;208;227;67;89;33;20
G31344;Spitz;1253;830;22;808;354;118;173;63;76;17;7
G31346;Straß im Straßertale;1349;913;24;889;328;140;200;83;70;48;20
G31347;Stratzing;712;500;3;497;206;80;92;52;48;14;5
G31350;Weinzierl am Walde;1021;716;22;694;318;91;208;17;29;24;7
G31351;Weißenkirchen in der Wachau;1148;848;13;835;366;147;147;53;92;20;10
G31355;Schönberg am Kamp;1537;1101;24;1077;376;149;265;110;115;31;31
G31356;Droß;822;576;12;564;141;90;163;59;65;28;18
G31399;Wahlkarten - Krems Land;0;763;15;748;178;147;125;125;133;27;13
G31400;Lilienfeld;19462;12973;321;12652;3746;3375;3295;754;777;445;260
G31401;Annaberg;402;285;8;277;129;46;51;16;20;7;8
G31402;Eschenau;1021;671;13;658;227;133;187;28;39;25;19
G31403;Hainfeld;2904;1831;40;1791;482;519;487;128;108;37;30
G31404;Hohenberg;1114;707;10;697;163;245;164;38;43;25;19
G31405;Kaumberg;841;570;15;555;197;65;198;19;35;34;7
G31406;Kleinzell;695;479;14;465;224;34;143;25;17;15;7
G31407;Lilienfeld;1910;1233;27;1206;342;287;293;116;93;35;40
G31408;Mitterbach am Erlaufsee;396;263;5;258;124;29;59;14;20;9;3
G31409;Ramsau;616;405;12;393;132;75;119;19;28;16;4
G31410;Rohrbach an der Gölsen;1199;821;25;796;249;148;230;53;64;35;17
G31411;St. Aegyd am Neuwalde;1455;978;35;943;261;311;237;40;42;34;18
G31412;St. Veit an der Gölsen;3004;2121;55;2066;534;641;530;103;124;94;40
G31413;Traisen;2369;1312;34;1278;217;531;354;57;60;27;32
G31414;Türnitz;1536;942;24;918;377;220;183;54;44;29;11
G31499;Wahlkarten - Lilienfeld;0;355;4;351;88;91;60;44;40;23;5
G31500;Melk;61760;41067;989;40078;12990;8730;11286;2627;2561;1126;758
G31502;Artstetten-Pöbring;978;668;30;638;302;87;144;40;45;15;5
G31503;Bergland;1488;1040;28;1012;428;167;262;53;64;22;16
G31504;Bischofstetten;940;624;10;614;255;132;151;36;18;15;7
G31505;Blindenmarkt;2030;1355;30;1325;393;209;489;77;89;36;32
G31506;Dorfstetten;457;346;10;336;118;62;135;10;5;4;2
G31507;Dunkelsteinerwald;1986;1338;40;1298;397;218;442;74;71;54;42
G31508;Erlauf;905;584;14;570;180;115;200;23;29;15;8
G31509;Golling an der Erlauf;1130;648;17;631;46;276;246;14;28;9;12
G31511;Hofamt Priel;1385;995;24;971;297;276;237;48;60;27;26
G31513;Hürm;1583;1076;33;1043;500;119;235;64;77;38;10
G31514;Kilb;2100;1527;38;1489;694;200;344;109;77;39;26
G31515;Kirnberg an der Mank;881;652;19;633;296;60;172;39;31;24;11
G31516;Klein-Pöchlarn;814;501;21;480;107;182;116;30;24;11;10
G31517;Krummnußbaum;1282;798;20;778;176;215;244;51;53;22;17
G31519;Leiben;1067;690;7;683;175;214;174;50;34;18;18
G31520;Loosdorf;3022;1811;30;1781;366;594;481;106;140;54;40
G31521;Mank;2625;1719;47;1672;671;231;410;173;107;55;25
G31522;Marbach an der Donau;1299;851;26;825;218;243;251;32;44;21;16
G31523;Maria Taferl;738;479;5;474;140;99;152;24;30;18;11
G31524;Melk;4195;2571;39;2532;741;543;578;265;289;61;55
G31525;Münichreith-Laimbach;1346;754;26;728;248;133;250;29;27;30;11
G31527;Neumarkt an der Ybbs;1580;947;24;923;216;251;316;43;57;24;16
G31528;Nöchling;827;559;15;544;178;166;118;33;19;18;12
G31530;Persenbeug-Gottsdorf;1754;1131;21;1110;206;380;310;71;82;25;36
G31531;Petzenkirchen;1133;709;13;696;117;293;201;22;34;19;10
G31533;Pöchlarn;2956;1669;40;1629;437;385;477;134;132;29;35
G31534;Pöggstall;1965;1241;31;1210;484;179;371;50;68;40;18
G31535;Raxendorf;843;646;21;625;294;97;175;18;28;8;5
G31537;Ruprechtshofen;1863;1244;25;1219;468;146;413;73;56;45;18
G31539;St. Leonhard am Forst;2460;1575;32;1543;526;221;509;115;107;52;13
G31540;St. Martin-Karlsbach;1330;919;21;898;319;200;235;51;46;29;18
G31541;St. Oswald;911;636;13;623;294;89;157;27;33;18;5
G31542;Schönbühel-Aggsbach;783;552;11;541;178;107;148;49;39;15;5
G31543;Schollach;835;594;12;582;195;127;177;31;32;9;11
G31546;Weiten;903;576;16;560;257;73;165;22;23;15;5
G31549;Ybbs an der Donau;4058;2235;40;2195;489;687;647;150;122;50;50
G31550;Zelking-Matzleinsdorf;980;650;21;629;268;117;135;29;50;22;8
G31551;Texingtal;1304;926;26;900;425;124;205;62;42;27;15
G31552;Yspertal;1633;1113;39;1074;308;251;366;49;54;28;18
G31553;Emmersdorf an der Donau;1391;906;24;882;274;190;225;75;71;32;15
G31599;Wahlkarten - Melk;0;1212;30;1182;309;272;223;176;124;33;45
G31600;Mistelbach;60938;40271;1021;39250;14096;7433;10122;3041;2939;856;763
G31601;Altlichtenwarth;612;381;11;370;151;59;117;12;20;9;2
G31603;Asparn an der Zaya;1531;979;24;955;364;179;279;47;44;25;17
G31604;Bernhardsthal;1257;776;26;750;248;174;228;31;45;15;9
G31605;Bockfließ;998;670;28;642;239;152;146;40;47;12;6
G31606;Drasenhofen;873;589;10;579;291;46;185;18;25;9;5
G31608;Falkenstein;437;325;4;321;153;25;57;40;34;8;4
G31609;Fallbach;672;491;11;480;277;36;93;27;31;11;5
G31611;Gaubitsch;744;548;14;534;294;48;114;27;41;5;5
G31612;Gaweinstal;3167;1905;57;1848;613;369;541;119;134;37;35
G31613;Gnadendorf;992;701;19;682;358;86;131;46;40;7;14
G31614;Großebersdorf;1832;1177;31;1146;405;189;327;75;102;24;24
G31615;Großengersdorf;1171;824;26;798;259;222;196;47;48;16;10
G31616;Großharras;895;550;21;529;234;70;138;23;39;18;7
G31617;Großkrut;1376;873;23;850;310;161;262;46;43;8;20
G31620;Hausbrunn;661;392;4;388;100;113;145;7;9;7;7
G31621;Herrnbaumgarten;749;452;7;445;213;43;120;29;29;5;6
G31622;Hochleithen;927;623;15;608;238;138;135;39;43;9;6
G31627;Kreuttal;1214;843;17;826;255;216;184;65;85;13;8
G31628;Kreuzstetten;1341;892;24;868;226;209;225;114;46;24;24
G31629;Laa an der Thaya;5051;3139;70;3069;966;600;961;198;228;41;75
G31630;Ladendorf;1879;1165;27;1138;373;265;292;83;66;21;38
G31633;Mistelbach;9357;5696;137;5559;1734;1126;1437;513;505;140;104
G31634;Neudorf im Weinviertel;1102;660;24;636;221;117;203;29;28;20;18
G31636;Niederleis;745;482;13;469;168;101;124;25;38;8;5
G31642;Pillichsdorf;980;724;17;707;212;159;121;109;59;27;20
G31644;Poysdorf;4310;2784;75;2709;1184;408;712;141;156;61;47
G31645;Rabensburg;842;514;13;501;85;186;189;12;11;8;10
G31646;Schrattenberg;659;378;6;372;187;38;109;8;13;8;9
G31649;Staatz;1632;1122;55;1067;431;198;290;45;60;14;29
G31650;Stronsdorf;1286;879;12;867;374;96;288;37;46;12;14
G31651;Ulrichskirchen-Schleinbach;2109;1352;32;1320;372;322;310;143;120;23;30
G31652;Unterstinkenbrunn;464;303;8;295;151;26;76;12;22;7;1
G31653;Wildendürnbach;1219;771;29;742;415;74;166;26;41;13;7
G31654;Wilfersdorf;1690;1069;29;1040;365;220;297;48;60;31;19
G31655;Wolkersdorf im Weinviertel;5716;3857;69;3788;1141;727;656;631;439;109;85
G31658;Ottenthal;448;338;12;326;200;23;65;8;12;12;6
G31699;Wahlkarten - Mistelbach;0;1047;21;1026;289;212;203;121;130;39;32
G31700;Mödling;90178;58946;808;58138;13901;12932;11061;8140;9574;1369;1161
G31701;Achau;1242;671;12;659;128;200;155;65;87;11;13
